"observation_id","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_length","installment_rate","personal_status","other_debtors","residence_history","property","age","installment_plan","housing","existing_credits","default","dependents","telephone","foreign_worker","job"
165,"unknown",36,"repaid","car (new)",909,"501 - 1000 DM","> 7 yrs",4,"single male","none",4,"building society savings",36,"none","own",1,1,1,"none","yes","skilled employee"
166,"unknown",6,"repaid","furniture",2978,"501 - 1000 DM","1 - 4 yrs",1,"single male","none",2,"other",32,"none","own",1,1,1,"yes","yes","skilled employee"
167,"< 0 DM",18,"repaid","furniture",1131,"< 100 DM","unemployed",4,"female","none",2,"other",33,"none","own",1,2,1,"none","yes","skilled employee"
168,"1 - 200 DM",11,"repaid","furniture",1577,"> 1000 DM","0 - 1 yrs",4,"female","none",1,"real estate",20,"none","own",1,1,1,"none","yes","skilled employee"
169,"unknown",24,"repaid","furniture",3972,"< 100 DM","4 - 7 yrs",2,"female","none",4,"building society savings",25,"none","rent",1,1,1,"yes","yes","skilled employee"
170,"1 - 200 DM",24,"critical","business",1935,"< 100 DM","> 7 yrs",4,"divorced male","none",4,"real estate",31,"none","own",2,2,1,"yes","yes","skilled employee"
171,"< 0 DM",15,"fully repaid","car (new)",950,"< 100 DM","> 7 yrs",4,"single male","none",3,"other",33,"none","rent",2,2,2,"none","yes","skilled employee"
172,"unknown",12,"repaid","furniture",763,"< 100 DM","1 - 4 yrs",4,"female","none",1,"real estate",26,"none","own",1,1,1,"yes","yes","skilled employee"
173,"1 - 200 DM",24,"delayed","furniture",2064,"< 100 DM","unemployed",3,"female","none",2,"building society savings",34,"none","own",1,2,1,"yes","yes","mangement self-employed"
174,"1 - 200 DM",8,"repaid","radio/tv",1414,"< 100 DM","1 - 4 yrs",4,"single male","guarantor",2,"real estate",33,"none","own",1,1,1,"none","no","skilled employee"
175,"< 0 DM",21,"delayed","education",3414,"< 100 DM","0 - 1 yrs",2,"single male","none",1,"building society savings",26,"none","own",2,2,1,"none","yes","skilled employee"
176,"unknown",30,"fully repaid this bank","car (used)",7485,"unknown","unemployed",4,"female","none",1,"real estate",53,"bank","own",1,2,1,"yes","yes","mangement self-employed"
177,"< 0 DM",12,"repaid","furniture",2577,"< 100 DM","1 - 4 yrs",2,"divorced male","none",1,"other",42,"none","own",1,1,1,"none","yes","skilled employee"
178,"< 0 DM",6,"critical","radio/tv",338,"501 - 1000 DM","> 7 yrs",4,"single male","none",4,"other",52,"none","own",2,1,1,"none","yes","skilled employee"
179,"unknown",12,"repaid","radio/tv",1963,"< 100 DM","4 - 7 yrs",4,"single male","none",2,"other",31,"none","rent",2,1,2,"yes","yes","mangement self-employed"
180,"< 0 DM",21,"critical","car (new)",571,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",65,"none","own",2,1,1,"none","yes","skilled employee"
181,"unknown",36,"delayed","business",9572,"< 100 DM","0 - 1 yrs",1,"divorced male","none",1,"other",28,"none","own",2,2,1,"none","yes","skilled employee"
182,"1 - 200 DM",36,"delayed","business",4455,"< 100 DM","1 - 4 yrs",2,"divorced male","none",2,"real estate",30,"stores","own",2,2,1,"yes","yes","mangement self-employed"
183,"< 0 DM",21,"fully repaid this bank","car (new)",1647,"unknown","1 - 4 yrs",4,"single male","none",2,"building society savings",40,"none","own",2,2,2,"none","yes","unskilled resident"
184,"unknown",24,"critical","furniture",3777,"> 1000 DM","1 - 4 yrs",4,"single male","none",4,"real estate",50,"none","own",1,1,1,"yes","yes","skilled employee"
185,"1 - 200 DM",18,"critical","car (new)",884,"< 100 DM","> 7 yrs",4,"single male","none",4,"other",36,"bank","own",1,2,2,"yes","yes","skilled employee"
186,"unknown",15,"critical","radio/tv",1360,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"building society savings",31,"none","own",2,1,1,"none","yes","skilled employee"
187,"1 - 200 DM",9,"fully repaid this bank","car (used)",5129,"< 100 DM","> 7 yrs",2,"female","none",4,"unknown/none",74,"bank","for free",1,2,2,"yes","yes","mangement self-employed"
188,"1 - 200 DM",16,"critical","car (new)",1175,"< 100 DM","unemployed",2,"single male","none",3,"other",68,"none","for free",3,1,1,"yes","yes","unemployed non-resident"
189,"< 0 DM",12,"repaid","radio/tv",674,"101 - 500 DM","4 - 7 yrs",4,"married male","none",1,"building society savings",20,"none","own",1,2,1,"none","yes","skilled employee"
190,"1 - 200 DM",18,"fully repaid","furniture",3244,"< 100 DM","1 - 4 yrs",1,"female","none",4,"other",33,"bank","own",2,1,1,"yes","yes","skilled employee"
191,"unknown",24,"repaid","business",4591,"> 1000 DM","1 - 4 yrs",2,"single male","none",3,"building society savings",54,"none","own",3,2,1,"yes","yes","mangement self-employed"
192,"1 - 200 DM",48,"fully repaid","business",3844,"101 - 500 DM","4 - 7 yrs",4,"single male","none",4,"unknown/none",34,"none","for free",1,2,2,"none","yes","unskilled resident"
193,"1 - 200 DM",27,"repaid","business",3915,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"other",36,"none","own",1,2,2,"yes","yes","skilled employee"
194,"unknown",6,"repaid","radio/tv",2108,"< 100 DM","4 - 7 yrs",2,"married male","none",2,"real estate",29,"none","rent",1,1,1,"none","yes","skilled employee"
195,"1 - 200 DM",45,"repaid","radio/tv",3031,"101 - 500 DM","1 - 4 yrs",4,"single male","guarantor",4,"building society savings",21,"none","rent",1,2,1,"none","yes","skilled employee"
196,"1 - 200 DM",9,"critical","education",1501,"< 100 DM","> 7 yrs",2,"female","none",3,"other",34,"none","own",2,2,1,"yes","yes","mangement self-employed"
197,"unknown",6,"critical","radio/tv",1382,"< 100 DM","1 - 4 yrs",1,"female","none",1,"other",28,"none","own",2,1,1,"yes","yes","skilled employee"
198,"1 - 200 DM",12,"repaid","furniture",951,"101 - 500 DM","0 - 1 yrs",4,"female","none",4,"other",27,"bank","rent",4,2,1,"none","yes","skilled employee"
199,"1 - 200 DM",24,"repaid","car (used)",2760,"unknown","> 7 yrs",4,"single male","none",4,"unknown/none",36,"bank","for free",1,1,1,"yes","yes","skilled employee"
200,"1 - 200 DM",18,"delayed","furniture",4297,"< 100 DM","> 7 yrs",4,"divorced male","none",3,"unknown/none",40,"none","own",1,2,1,"yes","yes","mangement self-employed"
201,"unknown",9,"critical","education",936,"501 - 1000 DM","> 7 yrs",4,"single male","none",2,"other",52,"none","own",2,1,1,"yes","yes","skilled employee"
202,"< 0 DM",12,"repaid","car (new)",1168,"< 100 DM","1 - 4 yrs",4,"married male","none",3,"real estate",27,"none","own",1,1,1,"none","yes","unskilled resident"
203,"unknown",27,"delayed","business",5117,"< 100 DM","4 - 7 yrs",3,"single male","none",4,"other",26,"none","own",2,1,1,"none","yes","skilled employee"
204,"< 0 DM",12,"repaid","retraining",902,"< 100 DM","4 - 7 yrs",4,"married male","none",4,"building society savings",21,"none","rent",1,2,1,"none","yes","skilled employee"
205,"unknown",12,"critical","car (new)",1495,"< 100 DM","> 7 yrs",4,"single male","none",1,"real estate",38,"none","own",2,1,2,"none","yes","unskilled resident"
206,"< 0 DM",30,"critical","car (used)",10623,"< 100 DM","> 7 yrs",3,"single male","none",4,"unknown/none",38,"none","for free",3,1,2,"yes","yes","mangement self-employed"
207,"unknown",12,"critical","furniture",1935,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",43,"none","own",3,1,1,"yes","yes","skilled employee"
208,"1 - 200 DM",12,"critical","domestic appliances",1424,"< 100 DM","4 - 7 yrs",4,"single male","none",3,"building society savings",26,"none","own",1,1,1,"none","yes","skilled employee"
209,"< 0 DM",24,"repaid","business",6568,"< 100 DM","1 - 4 yrs",2,"married male","none",2,"other",21,"stores","own",1,1,1,"none","yes","unskilled resident"
210,"unknown",12,"repaid","car (used)",1413,"> 1000 DM","4 - 7 yrs",3,"single male","none",2,"building society savings",55,"none","own",1,1,1,"none","no","skilled employee"
211,"unknown",9,"critical","radio/tv",3074,"unknown","1 - 4 yrs",1,"single male","none",2,"real estate",33,"none","own",2,1,2,"none","yes","skilled employee"
212,"unknown",36,"repaid","radio/tv",3835,"unknown","> 7 yrs",2,"female","none",4,"real estate",45,"none","own",1,1,1,"yes","yes","unskilled resident"
213,"< 0 DM",27,"fully repaid","business",5293,"< 100 DM","unemployed",2,"single male","none",4,"building society savings",50,"stores","own",2,2,1,"yes","yes","skilled employee"
214,"> 200 DM",30,"delayed","business",1908,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",66,"none","own",1,2,1,"yes","yes","mangement self-employed"
215,"unknown",36,"critical","radio/tv",3342,"unknown","> 7 yrs",4,"single male","none",2,"other",51,"none","own",1,1,1,"yes","yes","skilled employee"
216,"1 - 200 DM",6,"critical","retraining",932,"unknown","4 - 7 yrs",1,"female","none",3,"building society savings",39,"none","own",2,1,1,"none","yes","unskilled resident"
217,"< 0 DM",18,"fully repaid","business",3104,"< 100 DM","4 - 7 yrs",3,"single male","none",1,"building society savings",31,"bank","own",1,1,1,"yes","yes","skilled employee"
218,"> 200 DM",36,"repaid","radio/tv",3913,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"real estate",23,"none","own",1,1,1,"yes","yes","skilled employee"
219,"< 0 DM",24,"repaid","furniture",3021,"< 100 DM","1 - 4 yrs",2,"divorced male","none",2,"real estate",24,"none","rent",1,1,1,"none","yes","unskilled resident"
220,"unknown",10,"repaid","car (new)",1364,"< 100 DM","1 - 4 yrs",2,"female","none",4,"other",64,"none","own",1,1,1,"yes","yes","skilled employee"
221,"1 - 200 DM",12,"repaid","radio/tv",625,"< 100 DM","0 - 1 yrs",4,"married male","guarantor",1,"real estate",26,"bank","own",1,1,1,"none","yes","unskilled resident"
222,"< 0 DM",12,"repaid","education",1200,"unknown","1 - 4 yrs",4,"female","none",4,"building society savings",23,"bank","rent",1,1,1,"yes","yes","skilled employee"
223,"unknown",12,"repaid","radio/tv",707,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"real estate",30,"bank","own",2,1,1,"none","yes","skilled employee"
224,"unknown",24,"delayed","business",2978,"unknown","1 - 4 yrs",4,"single male","none",4,"real estate",32,"none","own",2,1,2,"yes","yes","skilled employee"
225,"unknown",15,"repaid","car (used)",4657,"< 100 DM","1 - 4 yrs",3,"single male","none",2,"other",30,"none","own",1,1,1,"yes","yes","skilled employee"
226,"unknown",36,"fully repaid","repairs",2613,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"other",27,"none","own",2,1,1,"none","yes","skilled employee"
227,"1 - 200 DM",48,"repaid","radio/tv",10961,"> 1000 DM","4 - 7 yrs",1,"single male","co-applicant",2,"unknown/none",27,"bank","own",2,2,1,"yes","yes","skilled employee"
228,"< 0 DM",12,"repaid","furniture",7865,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",53,"none","for free",1,2,1,"yes","yes","mangement self-employed"
229,"unknown",9,"repaid","radio/tv",1478,"< 100 DM","4 - 7 yrs",4,"single male","none",2,"other",22,"none","own",1,2,1,"none","yes","skilled employee"
230,"< 0 DM",24,"repaid","furniture",3149,"< 100 DM","0 - 1 yrs",4,"single male","none",1,"unknown/none",22,"bank","for free",1,1,1,"none","yes","skilled employee"
231,"> 200 DM",36,"repaid","radio/tv",4210,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"other",26,"none","own",1,2,1,"none","yes","skilled employee"
232,"unknown",9,"repaid","car (new)",2507,"501 - 1000 DM","> 7 yrs",2,"single male","none",4,"unknown/none",51,"none","for free",1,1,1,"none","yes","unskilled resident"
233,"unknown",12,"repaid","radio/tv",2141,"101 - 500 DM","4 - 7 yrs",3,"single male","none",1,"unknown/none",35,"none","own",1,1,1,"none","yes","skilled employee"
234,"1 - 200 DM",18,"repaid","radio/tv",866,"< 100 DM","1 - 4 yrs",4,"married male","guarantor",2,"real estate",25,"none","own",1,1,1,"none","yes","unskilled resident"
235,"unknown",4,"critical","radio/tv",1544,"< 100 DM","4 - 7 yrs",2,"single male","none",1,"real estate",42,"none","own",3,1,2,"none","yes","unskilled resident"
236,"< 0 DM",24,"repaid","radio/tv",1823,"< 100 DM","unemployed",4,"single male","none",2,"other",30,"stores","own",1,2,2,"none","yes","mangement self-employed"
237,"1 - 200 DM",6,"repaid","car (new)",14555,"unknown","unemployed",1,"single male","none",2,"building society savings",23,"none","own",1,2,1,"yes","yes","unemployed non-resident"
238,"1 - 200 DM",21,"repaid","business",2767,"101 - 500 DM","> 7 yrs",4,"divorced male","none",2,"other",61,"bank","rent",2,2,1,"none","yes","unskilled resident"
239,"unknown",12,"critical","radio/tv",1291,"< 100 DM","1 - 4 yrs",4,"female","none",2,"building society savings",35,"none","own",2,1,1,"none","yes","skilled employee"
240,"< 0 DM",30,"repaid","radio/tv",2522,"< 100 DM","> 7 yrs",1,"single male","guarantor",3,"building society savings",39,"none","own",1,1,2,"none","yes","skilled employee"
241,"< 0 DM",24,"repaid","car (new)",915,"unknown","> 7 yrs",4,"female","none",2,"other",29,"bank","own",1,2,1,"none","yes","skilled employee"
242,"unknown",6,"repaid","radio/tv",1595,"< 100 DM","4 - 7 yrs",3,"single male","none",2,"building society savings",51,"none","own",1,1,2,"none","yes","skilled employee"
243,"< 0 DM",48,"fully repaid","car (used)",4605,"< 100 DM","> 7 yrs",3,"single male","none",4,"unknown/none",24,"none","for free",2,2,2,"none","yes","skilled employee"
244,"unknown",12,"critical","business",1185,"< 100 DM","1 - 4 yrs",3,"female","none",2,"real estate",27,"none","own",2,1,1,"none","yes","skilled employee"
245,"unknown",12,"fully repaid this bank","retraining",3447,"501 - 1000 DM","1 - 4 yrs",4,"female","none",3,"real estate",35,"none","own",1,1,2,"none","yes","unskilled resident"
246,"unknown",24,"repaid","business",1258,"< 100 DM","4 - 7 yrs",4,"single male","none",1,"real estate",25,"none","own",1,1,1,"yes","yes","skilled employee"
247,"unknown",12,"critical","radio/tv",717,"< 100 DM","> 7 yrs",4,"single male","none",4,"real estate",52,"none","own",3,1,1,"none","yes","skilled employee"
248,"unknown",6,"fully repaid","car (new)",1204,"101 - 500 DM","1 - 4 yrs",4,"single male","none",1,"unknown/none",35,"bank","rent",1,1,1,"none","no","skilled employee"
249,"> 200 DM",24,"repaid","furniture",1925,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"real estate",26,"none","own",1,1,1,"none","yes","skilled employee"
250,"unknown",18,"repaid","radio/tv",433,"< 100 DM","unemployed",3,"female","co-applicant",4,"real estate",22,"none","rent",1,2,1,"none","yes","skilled employee"
251,"< 0 DM",6,"critical","car (new)",666,"> 1000 DM","4 - 7 yrs",3,"female","none",4,"real estate",39,"none","own",2,1,1,"yes","yes","unskilled resident"
252,"> 200 DM",12,"repaid","furniture",2251,"< 100 DM","1 - 4 yrs",1,"female","none",2,"other",46,"none","own",1,1,1,"none","yes","unskilled resident"
253,"1 - 200 DM",30,"repaid","car (new)",2150,"< 100 DM","1 - 4 yrs",4,"female","guarantor",2,"unknown/none",24,"bank","own",1,2,1,"none","yes","skilled employee"
254,"unknown",24,"delayed","furniture",4151,"101 - 500 DM","1 - 4 yrs",2,"single male","none",3,"building society savings",35,"none","own",2,1,1,"none","yes","skilled employee"
255,"1 - 200 DM",9,"repaid","furniture",2030,"unknown","4 - 7 yrs",2,"single male","none",1,"other",24,"none","own",1,1,1,"yes","yes","skilled employee"
256,"1 - 200 DM",60,"delayed","radio/tv",7418,"unknown","1 - 4 yrs",1,"single male","none",1,"real estate",27,"none","own",1,1,1,"none","yes","unskilled resident"
257,"unknown",24,"critical","radio/tv",2684,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"real estate",35,"none","own",2,1,1,"none","yes","unskilled resident"
258,"< 0 DM",12,"fully repaid this bank","radio/tv",2149,"< 100 DM","1 - 4 yrs",4,"divorced male","none",1,"unknown/none",29,"none","for free",1,2,1,"none","yes","skilled employee"
259,"unknown",15,"repaid","car (used)",3812,"101 - 500 DM","0 - 1 yrs",1,"female","none",4,"other",23,"none","own",1,1,1,"yes","yes","skilled employee"
260,"unknown",11,"critical","radio/tv",1154,"101 - 500 DM","unemployed",4,"female","none",4,"real estate",57,"none","own",3,1,1,"none","yes","unskilled resident"
261,"< 0 DM",12,"repaid","furniture",1657,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"real estate",27,"none","own",1,1,1,"none","yes","skilled employee"
262,"< 0 DM",24,"repaid","radio/tv",1603,"< 100 DM","> 7 yrs",4,"female","none",4,"other",55,"none","own",1,1,1,"none","yes","skilled employee"
263,"< 0 DM",18,"critical","car (new)",5302,"< 100 DM","> 7 yrs",2,"single male","none",4,"unknown/none",36,"none","for free",3,1,1,"yes","yes","mangement self-employed"
264,"unknown",12,"critical","education",2748,"< 100 DM","> 7 yrs",2,"female","none",4,"unknown/none",57,"bank","for free",3,1,1,"none","yes","unskilled resident"
265,"unknown",10,"critical","car (new)",1231,"< 100 DM","> 7 yrs",3,"single male","none",4,"real estate",32,"none","own",2,1,2,"none","no","unskilled resident"
266,"1 - 200 DM",15,"repaid","radio/tv",802,"< 100 DM","> 7 yrs",4,"single male","none",3,"other",37,"none","own",1,2,2,"none","yes","skilled employee"
267,"unknown",36,"critical","business",6304,"unknown","> 7 yrs",4,"single male","none",4,"real estate",36,"none","own",2,1,1,"none","yes","skilled employee"
268,"unknown",24,"repaid","radio/tv",1533,"< 100 DM","0 - 1 yrs",4,"female","none",3,"other",38,"stores","own",1,1,1,"yes","yes","skilled employee"
269,"< 0 DM",14,"repaid","car (new)",8978,"< 100 DM","> 7 yrs",1,"divorced male","none",4,"building society savings",45,"none","own",1,2,1,"yes","no","mangement self-employed"
270,"unknown",24,"repaid","radio/tv",999,"unknown","> 7 yrs",4,"single male","none",2,"other",25,"none","own",2,1,1,"none","yes","skilled employee"
271,"unknown",18,"repaid","car (new)",2662,"unknown","4 - 7 yrs",4,"single male","none",3,"building society savings",32,"none","own",1,1,1,"none","no","skilled employee"
272,"unknown",12,"critical","furniture",1402,"501 - 1000 DM","4 - 7 yrs",3,"female","none",4,"other",37,"none","rent",1,1,1,"yes","yes","skilled employee"
273,"1 - 200 DM",48,"fully repaid this bank","car (new)",12169,"unknown","unemployed",4,"single male","co-applicant",4,"unknown/none",36,"none","for free",1,1,1,"yes","yes","mangement self-employed"
274,"1 - 200 DM",48,"repaid","radio/tv",3060,"< 100 DM","4 - 7 yrs",4,"single male","none",4,"real estate",28,"none","own",2,2,1,"none","yes","skilled employee"
275,"< 0 DM",30,"repaid","repairs",11998,"< 100 DM","0 - 1 yrs",1,"divorced male","none",1,"unknown/none",34,"none","own",1,2,1,"yes","yes","unskilled resident"
276,"unknown",9,"repaid","radio/tv",2697,"< 100 DM","1 - 4 yrs",1,"single male","none",2,"real estate",32,"none","own",1,1,2,"none","yes","skilled employee"
277,"unknown",18,"critical","radio/tv",2404,"< 100 DM","1 - 4 yrs",2,"female","none",2,"other",26,"none","own",2,1,1,"none","yes","skilled employee"
278,"< 0 DM",12,"repaid","furniture",1262,"unknown","> 7 yrs",2,"divorced male","none",4,"building society savings",49,"none","own",1,1,1,"yes","yes","unskilled resident"
279,"unknown",6,"repaid","furniture",4611,"< 100 DM","0 - 1 yrs",1,"female","none",4,"building society savings",32,"none","own",1,2,1,"none","yes","skilled employee"
280,"unknown",24,"repaid","radio/tv",1901,"101 - 500 DM","1 - 4 yrs",4,"single male","none",4,"other",29,"none","rent",1,1,1,"yes","yes","mangement self-employed"
281,"unknown",15,"critical","car (used)",3368,"> 1000 DM","> 7 yrs",3,"single male","none",4,"unknown/none",23,"none","rent",2,1,1,"yes","yes","skilled employee"
282,"unknown",12,"repaid","furniture",1574,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"real estate",50,"none","own",1,1,1,"none","yes","skilled employee"
283,"> 200 DM",18,"fully repaid this bank","radio/tv",1445,"unknown","4 - 7 yrs",4,"single male","none",4,"other",49,"bank","own",1,1,1,"none","yes","unskilled resident"
284,"unknown",15,"critical","furniture",1520,"unknown","> 7 yrs",4,"single male","none",4,"building society savings",63,"none","own",1,1,1,"none","yes","skilled employee"
285,"1 - 200 DM",24,"critical","car (new)",3878,"101 - 500 DM","0 - 1 yrs",4,"divorced male","none",2,"other",37,"none","own",1,1,1,"yes","yes","skilled employee"
286,"< 0 DM",47,"repaid","car (new)",10722,"< 100 DM","0 - 1 yrs",1,"female","none",1,"real estate",35,"none","own",1,1,1,"yes","yes","unskilled resident"
287,"< 0 DM",48,"repaid","car (used)",4788,"< 100 DM","4 - 7 yrs",4,"single male","none",3,"building society savings",26,"none","own",1,1,2,"none","yes","skilled employee"
288,"1 - 200 DM",48,"delayed","others",7582,"101 - 500 DM","unemployed",2,"single male","none",4,"unknown/none",31,"none","for free",1,1,1,"yes","yes","mangement self-employed"
289,"1 - 200 DM",12,"repaid","radio/tv",1092,"< 100 DM","1 - 4 yrs",4,"female","guarantor",4,"real estate",49,"none","own",2,1,1,"yes","yes","skilled employee"
290,"< 0 DM",24,"delayed","radio/tv",1024,"< 100 DM","0 - 1 yrs",4,"married male","none",4,"real estate",48,"stores","own",1,2,1,"none","yes","skilled employee"
291,"unknown",12,"repaid","business",1076,"< 100 DM","1 - 4 yrs",2,"married male","none",2,"real estate",26,"none","own",1,1,1,"yes","no","skilled employee"
292,"1 - 200 DM",36,"repaid","car (used)",9398,"< 100 DM","0 - 1 yrs",1,"married male","none",4,"other",28,"none","rent",1,2,1,"yes","yes","mangement self-employed"
293,"< 0 DM",24,"critical","car (used)",6419,"< 100 DM","> 7 yrs",2,"female","none",4,"unknown/none",44,"none","for free",2,1,2,"yes","yes","mangement self-employed"
294,"> 200 DM",42,"critical","car (used)",4796,"< 100 DM","> 7 yrs",4,"single male","none",4,"unknown/none",56,"none","for free",1,1,1,"none","yes","skilled employee"
295,"unknown",48,"critical","business",7629,"unknown","> 7 yrs",4,"divorced male","none",2,"other",46,"bank","own",2,1,2,"none","yes","mangement self-employed"
296,"1 - 200 DM",48,"repaid","furniture",9960,"< 100 DM","0 - 1 yrs",1,"female","none",2,"other",26,"none","own",1,2,1,"yes","yes","skilled employee"
297,"unknown",12,"repaid","car (used)",4675,"unknown","0 - 1 yrs",1,"female","none",4,"other",20,"none","rent",1,1,1,"none","yes","skilled employee"
298,"unknown",10,"repaid","car (new)",1287,"unknown","> 7 yrs",4,"single male","co-applicant",2,"building society savings",45,"none","own",1,1,1,"none","no","unskilled resident"
299,"unknown",18,"repaid","furniture",2515,"< 100 DM","1 - 4 yrs",3,"single male","none",4,"real estate",43,"none","own",1,1,1,"yes","yes","skilled employee"
300,"1 - 200 DM",21,"critical","furniture",2745,"> 1000 DM","4 - 7 yrs",3,"single male","none",2,"other",32,"none","own",2,1,1,"yes","yes","skilled employee"
301,"unknown",6,"repaid","car (new)",672,"< 100 DM","unemployed",1,"female","none",4,"real estate",54,"none","own",1,1,1,"yes","yes","unemployed non-resident"
302,"1 - 200 DM",36,"fully repaid","radio/tv",3804,"< 100 DM","1 - 4 yrs",4,"female","none",1,"other",42,"none","own",1,2,1,"yes","yes","skilled employee"
303,"> 200 DM",24,"critical","car (new)",1344,"unknown","4 - 7 yrs",4,"single male","none",2,"real estate",37,"bank","own",2,2,2,"none","yes","unskilled resident"
304,"< 0 DM",10,"critical","car (new)",1038,"< 100 DM","4 - 7 yrs",4,"single male","co-applicant",3,"building society savings",49,"none","own",2,1,1,"yes","yes","skilled employee"
305,"unknown",48,"critical","car (new)",10127,"501 - 1000 DM","1 - 4 yrs",2,"single male","none",2,"unknown/none",44,"bank","for free",1,2,1,"none","yes","skilled employee"
306,"unknown",6,"repaid","furniture",1543,"> 1000 DM","1 - 4 yrs",4,"divorced male","none",2,"real estate",33,"none","own",1,1,1,"none","yes","skilled employee"
307,"unknown",30,"repaid","car (used)",4811,"unknown","4 - 7 yrs",2,"female","none",4,"building society savings",24,"stores","rent",1,1,1,"none","yes","unskilled resident"
308,"< 0 DM",12,"repaid","radio/tv",727,"101 - 500 DM","0 - 1 yrs",4,"married male","none",3,"unknown/none",33,"none","own",1,2,1,"yes","yes","unskilled resident"
309,"1 - 200 DM",8,"repaid","furniture",1237,"< 100 DM","1 - 4 yrs",3,"female","none",4,"real estate",24,"none","own",1,2,1,"none","yes","skilled employee"
310,"1 - 200 DM",9,"repaid","car (new)",276,"< 100 DM","1 - 4 yrs",4,"married male","none",4,"real estate",22,"none","rent",1,1,1,"none","yes","unskilled resident"
311,"1 - 200 DM",48,"repaid","others",5381,"unknown","unemployed",3,"single male","none",4,"unknown/none",40,"bank","for free",1,1,1,"yes","yes","unemployed non-resident"
312,"unknown",24,"repaid","furniture",5511,"101 - 500 DM","1 - 4 yrs",4,"single male","none",1,"other",25,"stores","own",1,1,1,"none","yes","skilled employee"
313,"> 200 DM",24,"repaid","furniture",3749,"< 100 DM","0 - 1 yrs",2,"female","none",4,"other",26,"none","own",1,1,1,"none","yes","skilled employee"
314,"1 - 200 DM",12,"repaid","car (new)",685,"< 100 DM","4 - 7 yrs",2,"married male","none",3,"other",25,"bank","own",1,2,1,"none","yes","unskilled resident"
315,"> 200 DM",4,"repaid","car (new)",1494,"unknown","0 - 1 yrs",1,"single male","none",2,"real estate",29,"none","own",1,1,2,"none","no","unskilled resident"
316,"< 0 DM",36,"fully repaid this bank","furniture",2746,"< 100 DM","> 7 yrs",4,"single male","none",4,"other",31,"bank","own",1,2,1,"none","yes","skilled employee"
317,"< 0 DM",12,"repaid","furniture",708,"< 100 DM","1 - 4 yrs",2,"single male","guarantor",3,"building society savings",38,"none","own",1,1,2,"none","yes","unskilled resident"
318,"1 - 200 DM",24,"repaid","furniture",4351,"unknown","1 - 4 yrs",1,"female","none",4,"building society savings",48,"none","own",1,1,1,"yes","yes","unskilled resident"
319,"unknown",12,"critical","education",701,"< 100 DM","1 - 4 yrs",4,"single male","none",2,"other",32,"none","own",2,1,1,"none","yes","skilled employee"
320,"< 0 DM",15,"delayed","furniture",3643,"< 100 DM","> 7 yrs",1,"female","none",4,"building society savings",27,"none","own",2,1,1,"none","yes","unskilled resident"
321,"1 - 200 DM",30,"critical","car (new)",4249,"< 100 DM","unemployed",4,"married male","none",2,"other",28,"none","own",2,2,1,"none","yes","mangement self-employed"
322,"< 0 DM",24,"repaid","radio/tv",1938,"< 100 DM","0 - 1 yrs",4,"divorced male","none",3,"building society savings",32,"none","own",1,2,1,"none","yes","skilled employee"
323,"< 0 DM",24,"repaid","car (used)",2910,"< 100 DM","4 - 7 yrs",2,"single male","none",1,"unknown/none",34,"none","for free",1,1,1,"yes","yes","mangement self-employed"
324,"< 0 DM",18,"repaid","furniture",2659,"> 1000 DM","1 - 4 yrs",4,"single male","none",2,"other",28,"none","own",1,1,1,"none","yes","skilled employee"
325,"unknown",18,"critical","car (new)",1028,"< 100 DM","1 - 4 yrs",4,"female","none",3,"real estate",36,"none","own",2,1,1,"none","yes","skilled employee"
326,"< 0 DM",8,"critical","car (new)",3398,"< 100 DM","4 - 7 yrs",1,"single male","none",4,"real estate",39,"none","own",2,1,1,"none","no","unskilled resident"
327,"unknown",12,"critical","furniture",5801,"unknown","> 7 yrs",2,"single male","none",4,"building society savings",49,"none","rent",1,1,1,"yes","yes","skilled employee"
328,"unknown",24,"repaid","car (new)",1525,"> 1000 DM","4 - 7 yrs",4,"female","none",3,"other",34,"none","own",1,1,2,"yes","yes","skilled employee"
329,"> 200 DM",36,"repaid","radio/tv",4473,"< 100 DM","> 7 yrs",4,"single male","none",2,"other",31,"none","own",1,1,1,"none","yes","skilled employee"
330,"1 - 200 DM",6,"repaid","radio/tv",1068,"< 100 DM","> 7 yrs",4,"single male","none",4,"other",28,"none","own",1,1,2,"none","yes","skilled employee"
331,"< 0 DM",24,"critical","car (used)",6615,"< 100 DM","unemployed",2,"single male","none",4,"unknown/none",75,"none","for free",2,1,1,"yes","yes","mangement self-employed"
